season,player,school,position,first,second,third,points,source
2010,Cam Newton,Auburn,QB,729,24,28,2263,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2010,Andrew Luck,Stanford,QB,78,309,227,1079,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2010,LaMichael James,Oregon,RB,22,313,224,916,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2010,Kellen Moore,Boise State,QB,40,165,185,635,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2010,Justin Blackmon,Oklahoma State,WR,1,23,56,105,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2010,Denard Robinson,Michigan,QB,6,16,34,84,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2010,Ryan Mallett,Arkansas,QB,0,11,19,41,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2010,Colin Kaepernick,Nevada,QB,0,7,17,31,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2010,Andy Dalton,TCU,QB,4,3,12,30,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2010,Owen Marecic,Stanford,FB/LB,3,1,5,16,https://en.wikipedia.org/wiki/2010_NCAA_Division_I_FBS_football_season
2011,Robert Griffin III,Baylor,QB,405,168,136,1687,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2011,Andrew Luck,Stanford,QB,247,250,166,1407,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2011,Trent Richardson,Alabama,RB,138,207,150,978,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2011,Montee Ball,Wisconsin,RB,22,83,116,348,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2011,Tyrann Mathieu,LSU,CB,34,63,99,327,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2011,Matt Barkley,USC,QB,11,33,54,153,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2011,Case Keenum,Houston,QB,10,20,53,123,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2011,Kellen Moore,Boise State,QB,6,21,30,90,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2011,Russell Wilson,Wisconsin,QB,4,12,15,52,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2011,LaMichael James,Oregon,RB,5,12,9,48,https://en.wikipedia.org/wiki/2011_NCAA_Division_I_FBS_football_season
2012,Johnny Manziel,Texas A&M,QB,474,252,103,2029,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2012,Manti Te'o,Notre Dame,LB,321,309,126,1706,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2012,Collin Klein,Kansas State,QB,60,197,320,894,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2012,Marqise Lee,USC,WR,19,33,84,207,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2012,Braxton Miller,Ohio State,QB,3,29,77,144,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2012,Jadeveon Clowney,South Carolina,DE,4,13,23,61,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2012,Jordan Lynch,Northern Illinois,QB,3,8,27,52,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2012,Tavon Austin,West Virginia,WR,6,4,21,47,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2012,Kenjon Barner,Oregon,RB,1,12,15,42,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2012,Jarvis Jones,Georgia,LB,1,10,18,41,https://en.wikipedia.org/wiki/2012_NCAA_Division_I_FBS_football_season
2013,Jameis Winston,Florida State,QB,668,84,33,2205,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2013,A. J. McCarron,Alabama,QB,79,162,143,704,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2013,Jordan Lynch,Northern Illinois,QB,40,149,140,558,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2013,Andre Williams,Boston College,RB,29,127,129,470,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2013,Johnny Manziel,Texas A&M,QB,30,103,125,421,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2013,Tre Mason,Auburn,RB,31,121,69,404,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2013,Bryce Petty,Baylor,QB,4,40,35,127,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2013,Derek Carr,Fresno State,QB,6,23,43,107,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2013,Braxton Miller,Ohio State,QB,4,21,37,91,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2013,Ka'Deem Carey,Arizona,RB,2,14,36,70,https://en.wikipedia.org/wiki/2013_NCAA_Division_I_FBS_football_season
2014,Marcus Mariota,Oregon,QB,788,74,22,2534,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2014,Melvin Gordon,Wisconsin,RB,37,432,275,1250,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2014,Amari Cooper,Alabama,WR,49,280,316,1023,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2014,Trevone Boykin,TCU,QB,8,45,104,218,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2014,J. T. Barrett,Ohio State,QB,0,19,40,78,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2014,Jameis Winston,Florida State,QB,4,10,19,51,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2014,Tevin Coleman,Indiana,RB,2,8,22,44,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2014,Dak Prescott,Mississippi State,QB,2,4,28,42,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2014,Scooby Wright,Arizona,LB,0,4,13,21,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2014,Bryce Petty,Baylor,QB,1,3,4,13,https://en.wikipedia.org/wiki/2014_NCAA_Division_I_FBS_football_season
2015,Derrick Henry,Alabama,RB,378,277,144,1832,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2015,Christian McCaffrey,Stanford,RB,290,246,177,1539,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2015,Deshaun Watson,Clemson,QB,148,240,241,1165,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2015,Baker Mayfield,Oklahoma,QB,34,55,122,334,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2015,Keenan Reynolds,Navy,QB,20,17,86,180,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2015,Leonard Fournette,LSU,RB,10,25,30,110,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2015,Dalvin Cook,Florida State,RB,7,18,22,79,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2015,Ezekiel Elliott,Ohio State,RB,5,7,28,57,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2015,Connor Cook,Michigan State,QB,2,3,1,13,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2015,Trevone Boykin,TCU,QB,1,3,4,13,https://en.wikipedia.org/wiki/2015_NCAA_Division_I_FBS_football_season
2016,Lamar Jackson,Louisville,QB,526,251,64,2144,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season
2016,Deshaun Watson,Clemson,QB,269,302,113,1524,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season
2016,Baker Mayfield,Oklahoma,QB,26,72,139,361,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season
2016,Dede Westbrook,Oklahoma,WR,7,49,90,209,https://en.wikipedia.org/wiki/2016_NCAA_Division_I_FBS_football_season
